,antecedent,consequent,support,confidence
0,[20],[0],0.16666666666666666,0.3333333333333333
1,"[18, 20]",[0],0.05555555555555555,0.3333333333333333
2,[20],[0],0.16666666666666666,0.3333333333333333
3,"[20, 24]",[0],0.05555555555555555,0.3333333333333333
4,[19],[1],0.16666666666666666,0.3333333333333333
5,"[19, 24]",[1],0.05555555555555555,0.3333333333333333
6,[19],[1],0.16666666666666666,0.3333333333333333
7,"[18, 19]",[1],0.05555555555555555,0.3333333333333333
8,[24],[2],0.1111111111111111,0.3333333333333333
9,"[19, 24]",[2],0.05555555555555555,0.3333333333333333
10,[24],[2],0.1111111111111111,0.3333333333333333
11,"[21, 24]",[2],0.037037037037037035,0.3333333333333333
12,[20],[3],0.1,0.2
13,"[20, 24]",[3],0.03333333333333333,0.2
14,[20],[3],0.1,0.2
15,"[20, 23]",[3],0.03333333333333333,0.2
16,[20],[4],0.1,0.2
17,"[20, 23]",[4],0.03333333333333333,0.2
18,[20],[4],0.1,0.2
19,"[18, 20]",[4],0.03333333333333333,0.2
20,[20],[5],0.1,0.2
21,"[13, 20]",[5],0.025,0.2
22,[20],[5],0.1,0.2
23,"[20, 23]",[5],0.03333333333333333,0.2
24,[20],[6],0.1,0.2
25,"[18, 20]",[6],0.03333333333333333,0.2
26,[20],[6],0.1,0.2
27,"[20, 31]",[6],0.05246913580246913,0.31078610603290674
28,[20],[7],0.1,0.2
29,"[20, 31]",[7],0.06157407407407407,0.3647166361974406
30,[20],[7],0.1,0.2
31,"[20, 24]",[7],0.03333333333333333,0.2
32,[20],[8],0.125,0.25
33,"[18, 20]",[8],0.041666666666666664,0.25
34,[20],[8],0.125,0.25
35,"[20, 24]",[8],0.041666666666666664,0.25
36,[20],[9],0.125,0.25
37,"[1, 20]",[9],0.041666666666666664,0.25
38,[20],[9],0.125,0.25
39,"[20, 31]",[9],0.03950617283950617,0.2340036563071298
40,[20],[10],0.125,0.25
41,"[1, 20]",[10],0.041666666666666664,0.25
42,[20],[10],0.125,0.25
43,"[18, 20]",[10],0.041666666666666664,0.25
44,[20],[11],0.125,0.25
45,"[20, 23]",[11],0.041666666666666664,0.25
46,[20],[11],0.125,0.25
47,"[1, 20]",[11],0.041666666666666664,0.25
48,[20],[12],0.125,0.25
49,"[18, 20]",[12],0.041666666666666664,0.25
50,[20],[12],0.125,0.25
51,"[20, 23]",[12],0.041666666666666664,0.25
52,[20],[13],0.125,0.25
53,"[5, 20]",[13],0.025,0.25
54,[20],[13],0.125,0.25
55,"[20, 23]",[13],0.041666666666666664,0.25
56,[20],[14],0.125,0.25
57,"[20, 31]",[14],0.04814814814814815,0.28519195612431447
58,[20],[14],0.125,0.25
59,"[1, 20]",[14],0.041666666666666664,0.25
60,[20],[15],0.125,0.25
61,"[20, 31]",[15],0.04814814814814815,0.28519195612431447
62,[20],[15],0.125,0.25
63,"[1, 20]",[15],0.041666666666666664,0.25
64,[20],[16],0.16666666666666666,0.3333333333333333
65,"[20, 24]",[16],0.05555555555555555,0.3333333333333333
66,[20],[16],0.16666666666666666,0.3333333333333333
67,"[20, 23]",[16],0.05555555555555555,0.3333333333333333
68,[20],[17],0.16666666666666666,0.3333333333333333
69,"[20, 23]",[17],0.05555555555555555,0.3333333333333333
70,[20],[17],0.16666666666666666,0.3333333333333333
71,"[20, 24]",[17],0.05555555555555555,0.3333333333333333
72,[20],[18],0.16666666666666666,0.3333333333333333
73,"[20, 24]",[18],0.05555555555555555,0.3333333333333333
74,[20],[18],0.16666666666666666,0.3333333333333333
75,"[20, 23]",[18],0.05555555555555555,0.3333333333333333
76,[23],[19],0.16666666666666666,0.5
77,"[1, 23]",[19],0.05555555555555555,0.5
78,[23],[19],0.16666666666666666,0.5
79,"[23, 31]",[19],0.0595679012345679,0.46958637469586373
80,[23],[20],0.16666666666666666,0.5
81,"[23, 31]",[20],0.06728395061728396,0.5304136253041363
82,[23],[20],0.16666666666666666,0.5
83,"[23, 24]",[20],0.05555555555555555,0.5
84,[20],[21],0.16666666666666666,0.3333333333333333
85,"[18, 20]",[21],0.05555555555555555,0.3333333333333333
